优先级,类别,名称,Modbus寄存器,点位编码建议,读写类型,权限等级,单位,系数,描述,控制风险,现场只需确认,不确认的系统处理
P0,启停/模式高风险写点,CTF16手动启动,41110,SY-1-509-41110,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF16手动停止,41111,SY-1-509-41111,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF21手动启动,41115,SY-1-509-41115,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF21手动停止,41116,SY-1-509-41116,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF22手动启动,41120,SY-1-509-41120,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF22手动停止,41121,SY-1-509-41121,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF23手动启动,41125,SY-1-509-41125,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF23手动停止,41126,SY-1-509-41126,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF24手动启动,41130,SY-1-509-41130,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF24手动停止,41131,SY-1-509-41131,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF25手动启动,41135,SY-1-509-41135,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF25手动停止,41136,SY-1-509-41136,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF26手动启动,41140,SY-1-509-41140,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF26手动停止,41141,SY-1-509-41141,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF31手动启动,41145,SY-1-509-41145,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF31手动停止,41146,SY-1-509-41146,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF32手动启动,41150,SY-1-509-41150,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF32手动停止,41151,SY-1-509-41151,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF33手动启动,41155,SY-1-509-41155,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF33手动停止,41156,SY-1-509-41156,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF34手动启动,41160,SY-1-509-41160,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF34手动停止,41161,SY-1-509-41161,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF35手动启动,41165,SY-1-509-41165,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF35手动停止,41166,SY-1-509-41166,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF36手动启动,41170,SY-1-509-41170,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF36手动停止,41171,SY-1-509-41171,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF41手动启动,41175,SY-1-509-41175,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF41手动停止,41176,SY-1-509-41176,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF42手动启动,41180,SY-1-509-41180,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF42手动停止,41181,SY-1-509-41181,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF43手动启动,41185,SY-1-509-41185,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF43手动停止,41186,SY-1-509-41186,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF44手动启动,41190,SY-1-509-41190,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF44手动停止,41191,SY-1-509-41191,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF45手动启动,41195,SY-1-509-41195,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF45手动停止,41196,SY-1-509-41196,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF46手动启动,41200,SY-1-509-41200,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF46手动停止,41201,SY-1-509-41201,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF51手动启动,41205,SY-1-509-41205,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF51手动停止,41206,SY-1-509-41206,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF52手动启动,41210,SY-1-509-41210,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF52手动停止,41211,SY-1-509-41211,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF53手动启动,41215,SY-1-509-41215,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF53手动停止,41216,SY-1-509-41216,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF54手动启动,41220,SY-1-509-41220,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF54手动停止,41221,SY-1-509-41221,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF55手动启动,41225,SY-1-509-41225,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF55手动停止,41226,SY-1-509-41226,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF56手动启动,41230,SY-1-509-41230,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF56手动停止,41231,SY-1-509-41231,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF61手动启动,41235,SY-1-509-41235,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF61手动停止,41236,SY-1-509-41236,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF62手动启动,41240,SY-1-509-41240,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF62手动停止,41241,SY-1-509-41241,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF63手动启动,41245,SY-1-509-41245,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CTF63手动停止,41246,SY-1-509-41246,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,SY冷却塔温度手自动,41325,SY-1-509-41325,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,FM107旁通阀手自动,41342,SY-1-509-41342,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,SY冷却塔1手自动,41345,SY-1-509-41345,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,SY冷却塔2手自动,41346,SY-1-509-41346,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,SY冷却塔3手自动,41347,SY-1-509-41347,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,SY冷却塔4手自动,41348,SY-1-509-41348,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,SY冷却塔5手自动,41349,SY-1-509-41349,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,SY冷却塔6手自动,41350,SY-1-509-41350,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH7手动启动,41366,SY-1-509-41366,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CH7手动停止,41367,SY-1-509-41367,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP7手动启动,41371,SY-1-509-41371,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP7手动停止,41372,SY-1-509-41372,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CHP7频率手自动,41374,SY-1-509-41374,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP7手动启动,41375,SY-1-509-41375,RW,1,,1,1启动；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP7手动停止,41376,SY-1-509-41376,RW,1,,1,1停止；0无意义,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
P0,启停/模式高风险写点,CWP7频率手自动,41378,SY-1-509-41378,RW,1,,1,1自动；0手动,高-启停/模式类写点,确认AI系统永不直接写这些点；只作为人工控制边界和禁写清单。,全部加入禁写清单。
